iter	Passed	Remaining
790	1196	316
791	1196	314
792	1197	312
793	1198	310
794	1198	309
795	1199	307
796	1199	305
797	1200	303
798	1200	302
799	1201	300
800	1202	298
801	1202	296
802	1203	295
803	1203	293
804	1204	291
805	1204	289
806	1205	288
807	1205	286
808	1206	284
809	1206	283
810	1207	281
811	1208	279
812	1208	277
813	1209	276
814	1209	274
815	1210	272
816	1210	271
817	1211	269
818	1211	267
819	1212	266
820	1212	264
821	1213	262
822	1214	261
823	1214	259
824	1215	257
825	1215	256
826	1216	254
827	1216	252
828	1217	251
829	1217	249
830	1218	247
831	1218	246
832	1219	244
833	1219	242
834	1220	241
835	1221	239
836	1221	237
837	1222	236
838	1222	234
839	1223	233
840	1223	231
841	1224	229
842	1224	228
843	1225	226
844	1226	224
845	1226	223
846	1227	221
847	1227	220
848	1228	218
849	1228	216
850	1229	215
851	1229	213
852	1230	212
853	1230	210
854	1231	208
855	1232	207
856	1232	205
857	1233	204
858	1233	202
859	1234	200
860	1234	199
861	1235	197
862	1236	196
863	1236	194
864	1237	193
865	1237	191
866	1238	189
867	1238	188
868	1239	186
869	1239	185
870	1240	183
871	1240	182
872	1241	180
873	1241	179
874	1242	177
875	1243	175
876	1243	174
877	1244	172
878	1244	171
879	1245	169
880	1245	168
881	1246	166
882	1246	165
883	1247	163
884	1247	162
885	1248	160
886	1249	159
887	1249	157
888	1250	156
889	1250	154
890	1251	153
891	1251	151
892	1252	150
893	1252	148
894	1253	147
895	1253	145
896	1254	144
897	1255	142
898	1255	141
899	1256	139
900	1256	138
901	1257	136
902	1257	135
903	1258	133
904	1258	132
905	1259	130
906	1259	129
907	1260	127
908	1260	126
909	1262	124
910	1262	123
911	1263	121
912	1263	120
913	1264	118
914	1264	117
915	1265	116
916	1265	114
917	1266	113
918	1266	111
919	1267	110
920	1268	108
921	1268	107
922	1269	105
923	1269	104
924	1270	102
925	1270	101
926	1271	100
927	1271	98
928	1272	97
929	1272	95
930	1273	94
931	1274	92
932	1274	91
933	1275	90
934	1275	88
935	1276	87
936	1276	85
937	1277	84
938	1277	83
939	1278	81
940	1278	80
941	1279	78
942	1279	77
943	1280	75
944	1281	74
945	1281	73
946	1282	71
947	1282	70
948	1283	68
949	1283	67
950	1284	66
951	1284	64
952	1285	63
953	1285	61
954	1286	60
955	1286	59
956	1287	57
957	1287	56
958	1288	55
959	1289	53
960	1289	52
961	1290	50
962	1290	49
963	1291	48
964	1292	46
965	1292	45
966	1293	44
967	1293	42
968	1294	41
969	1294	40
970	1295	38
971	1295	37
